Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date,Division
Mercury,v,Hong Kong Cricket Club D10,HK Squash Centre,19:00:00,,18,16/03/2026,10
Sha Tin 4,v,Bravo D10,Cornwall Street Squash Centre,19:00:00,,18,16/03/2026,10
i-Mask Advance Squash Club 4,v,RELAY 1,Cornwall Street Squash Centre,19:00:00,,18,16/03/2026,10
Banbil,v,[BYE],,,,18,16/03/2026,10
RELAY 1,v,Sha Tin 4,Cornwall Street Squash Centre,19:00:00,,19,23/03/2026,10
Bravo D10,v,Mercury,Cornwall Street Squash Centre,19:00:00,,19,23/03/2026,10
Hong Kong Cricket Club D10,v,Squashathon Advance,Hong Kong Cricket Club,19:00:00,,19,23/03/2026,10
United Services Recreation Club 3,v,Kwai Tsing District Squash Club,United Services Recreation Club,19:00:00,,19,23/03/2026,10
Thunder 2,v,Banbil,Cornwall Street Squash Centre,19:00:00,,19,23/03/2026,10
i-Mask Advance Squash Club 4,v,[BYE],,,,19,23/03/2026,10
Banbil,v,United Services Recreation Club 3,HK Squash Centre,19:00:00,,20,13/04/2026,10
Kwai Tsing District Squash Club,v,Hong Kong Cricket Club D10,Cornwall Street Squash Centre,19:00:00,,20,13/04/2026,10
Squashathon Advance,v,Bravo D10,HK Squash Centre,19:00:00,,20,13/04/2026,10
Mercury,v,RELAY 1,HK Squash Centre,19:00:00,,20,13/04/2026,10
Sha Tin 4,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00:00,,20,13/04/2026,10
Thunder 2,v,[BYE],,,,20,13/04/2026,10
i-Mask Advance Squash Club 4,v,Mercury,Cornwall Street Squash Centre,19:00:00,,21,20/04/2026,10
RELAY 1,v,Squashathon Advance,Cornwall Street Squash Centre,19:00:00,,21,20/04/2026,10
Bravo D10,v,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19:00:00,,21,20/04/2026,10
Hong Kong Cricket Club D10,v,Banbil,Hong Kong Cricket Club,19:00:00,,21,20/04/2026,10
United Services Recreation Club 3,v,Thunder 2,United Services Recreation Club,19:00:00,,21,20/04/2026,10
Sha Tin 4,v,[BYE],,,,21,20/04/2026,10
Thunder 2,v,Hong Kong Cricket Club D10,Cornwall Street Squash Centre,19:00:00,,22,27/04/2026,10
Banbil,v,Bravo D10,HK Squash Centre,19:00:00,,22,27/04/2026,10
Kwai Tsing District Squash Club,v,RELAY 1,Cornwall Street Squash Centre,19:00:00,,22,27/04/2026,10
Squashathon Advance,v,i-Mask Advance Squash Club 4,HK Squash Centre,19:00:00,,22,27/04/2026,10
Mercury,v,Sha Tin 4,HK Squash Centre,19:00:00,,22,27/04/2026,10
United Services Recreation Club 3,v,[BYE],,,,22,27/04/2026,10
Electrify Squash Div 11,v,ZOMA,HK Squash Centre,19:00:00,,1,14/10/2025,11
Tuen Mun Squash Club,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,1,14/10/2025,11
The Zero Squash Club D11,v,7NT,Cornwall Street Squash Centre,19:00:00,,1,14/10/2025,11
i-Mask Advance Squash Club 5,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,1,14/10/2025,11
Sea Bear,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,1,14/10/2025,11
Invader Squash,v,[BYE],,,,1,14/10/2025,11
South China Athletic Association,v,Sea Bear,HK Squash Centre,19:00:00,,2,21/10/2025,11
7NT,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,2,21/10/2025,11
Alpha CUHK,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,2,21/10/2025,11
ZOMA,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,2,21/10/2025,11
Invader Squash,v,Electrify Squash Div 11,Harbour Road Sports Centre,19:00:00,,2,21/10/2025,11
GMDBB,v,[BYE],,,,2,21/10/2025,11
Tuen Mun Squash Club,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,3,28/10/2025,11
The Zero Squash Club D11,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,3,28/10/2025,11
i-Mask Advance Squash Club 5,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,3,28/10/2025,11
Sea Bear,v,7NT,Cornwall Street Squash Centre,19:00:00,,3,28/10/2025,11
GMDBB,v,South China Athletic Association,HK Squash Centre,19:00:00,,3,28/10/2025,11
Electrify Squash Div 11,v,[BYE],,,,3,28/10/2025,11
7NT,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,4,04/11/2025,11
Alpha CUHK,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,4,04/11/2025,11
ZOMA,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,4,04/11/2025,11
Invader Squash,v,The Zero Squash Club D11,Harbour Road Sports Centre,19:00:00,,4,04/11/2025,11
Electrify Squash Div 11,v,Tuen Mun Squash Club,HK Squash Centre,19:00:00,,4,04/11/2025,11
South China Athletic Association,v,[BYE],,,,4,04/11/2025,11
The Zero Squash Club D11,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,5,11/11/2025,11
i-Mask Advance Squash Club 5,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,5,11/11/2025,11
Sea Bear,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,5,11/11/2025,11
GMDBB,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,5,11/11/2025,11
South China Athletic Association,v,7NT,HK Squash Centre,19:00:00,,5,11/11/2025,11
Tuen Mun Squash Club,v,[BYE],,,,5,11/11/2025,11
Alpha CUHK,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,6,18/11/2025,11
ZOMA,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,6,18/11/2025,11
Invader Squash,v,Sea Bear,Harbour Road Sports Centre,19:00:00,,6,18/11/2025,11
Electrify Squash Div 11,v,i-Mask Advance Squash Club 5,HK Squash Centre,19:00:00,,6,18/11/2025,11
Tuen Mun Squash Club,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,6,18/11/2025,11
7NT,v,[BYE],,,,6,18/11/2025,11
i-Mask Advance Squash Club 5,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,7,25/11/2025,11
Sea Bear,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,7,25/11/2025,11
GMDBB,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,7,25/11/2025,11
South China Athletic Association,v,ZOMA,HK Squash Centre,19:00:00,,7,25/11/2025,11
7NT,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,7,25/11/2025,11
The Zero Squash Club D11,v,[BYE],,,,7,25/11/2025,11
ZOMA,v,7NT,Cornwall Street Squash Centre,19:00:00,,8,09/12/2025,11
Invader Squash,v,South China Athletic Association,Harbour Road Sports Centre,19:00:00,,8,09/12/2025,11
Electrify Squash Div 11,v,GMDBB,HK Squash Centre,19:00:00,,8,09/12/2025,11
Tuen Mun Squash Club,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,8,09/12/2025,11
The Zero Squash Club D11,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,8,09/12/2025,11
Alpha CUHK,v,[BYE],,,,8,09/12/2025,11
Sea Bear,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,9,16/12/2025,11
GMDBB,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,9,16/12/2025,11
South China Athletic Association,v,Electrify Squash Div 11,HK Squash Centre,19:00:00,,9,16/12/2025,11
7NT,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,9,16/12/2025,11
Alpha CUHK,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,9,16/12/2025,11
i-Mask Advance Squash Club 5,v,[BYE],,,,9,16/12/2025,11
Invader Squash,v,Alpha CUHK,Harbour Road Sports Centre,19:00:00,,10,06/01/2026,11
Electrify Squash Div 11,v,7NT,HK Squash Centre,19:00:00,,10,06/01/2026,11
Tuen Mun Squash Club,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,10,06/01/2026,11
The Zero Squash Club D11,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,10,06/01/2026,11
i-Mask Advance Squash Club 5,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,10,06/01/2026,11
ZOMA,v,[BYE],,,,10,06/01/2026,11
GMDBB,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,11,13/01/2026,11
South China Athletic Association,v,The Zero Squash Club D11,HK Squash Centre,19:00:00,,11,13/01/2026,11
7NT,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,11,13/01/2026,11
