Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date,Division
Sha Tin 4,v,Bravo D10,Cornwall Street Squash Centre,19:00,,13,20/01/2025,10
Craigengower Cricket Club,v,RELAY 1,Craigengower Cricket Club,19:00,,13,20/01/2025,10
Banbil,v,[BYE],,,,13,20/01/2025,10
Bravo D10,v,Craigengower Cricket Club,Cornwall Street Squash Centre,19:00,,14,10/02/2025,10
The Hong Kong Jockey Club Div 10,v,Sha Tin 4,HKJC Sha Tin Club House,19:00,,14,10/02/2025,10
Banbil,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00,,14,10/02/2025,10
RELAY 1,v,[BYE],,,,14,10/02/2025,10
Sha Tin 4,v,RELAY 1,Cornwall Street Squash Centre,19:00,,15,17/02/2025,10
United Services Recreation Club 3,v,Bravo D10,United Services Recreation Club,19:00,,15,17/02/2025,10
Banbil,v,The Hong Kong Jockey Club Div 10,HK Squash Centre,19:00,,15,17/02/2025,10
Craigengower Cricket Club,v,[BYE],,,,15,17/02/2025,10
Bravo D10,v,Banbil,Cornwall Street Squash Centre,19:00,,16,24/02/2025,10
RELAY 1,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00,,16,24/02/2025,10
Craigengower Cricket Club,v,Sha Tin 4,Craigengower Cricket Club,19:00,,16,24/02/2025,10
The Hong Kong Jockey Club Div 10,v,[BYE],,,,16,24/02/2025,10
United Services Recreation Club 3,v,Craigengower Cricket Club,United Services Recreation Club,19:00,,17,03/03/2025,10
Banbil,v,RELAY 1,HK Squash Centre,19:00,,17,03/03/2025,10
The Hong Kong Jockey Club Div 10,v,Bravo D10,HKJC Sha Tin Club House,19:00,,17,03/03/2025,10
Sha Tin 4,v,[BYE],,,,17,03/03/2025,10
RELAY 1,v,The Hong Kong Jockey Club Div 10,Cornwall Street Squash Centre,19:00,,18,10/03/2025,10
Craigengower Cricket Club,v,Banbil,Craigengower Cricket Club,19:00,,18,10/03/2025,10
Sha Tin 4,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00,,18,10/03/2025,10
Bravo D10,v,[BYE],,,,18,10/03/2025,10
Banbil,v,Sha Tin 4,HK Squash Centre,19:00,,19,17/03/2025,10
The Hong Kong Jockey Club Div 10,v,Craigengower Cricket Club,HKJC Sha Tin Club House,19:00,,19,17/03/2025,10
Bravo D10,v,RELAY 1,Cornwall Street Squash Centre,19:00,,19,17/03/2025,10
United Services Recreation Club 3,v,[BYE],,,,19,17/03/2025,10
The Hong Kong Jockey Club Div 10,v,United Services Recreation Club 3,HKJC Sha Tin Club House,19:00,,20,24/03/2025,10
Bravo D10,v,Sha Tin 4,Cornwall Street Squash Centre,19:00,,20,24/03/2025,10
RELAY 1,v,Craigengower Cricket Club,Cornwall Street Squash Centre,19:00,,20,24/03/2025,10
Banbil,v,[BYE],,,,20,24/03/2025,10
Craigengower Cricket Club,v,Bravo D10,Craigengower Cricket Club,19:00,,21,31/03/2025,10
Sha Tin 4,v,The Hong Kong Jockey Club Div 10,Cornwall Street Squash Centre,19:00,,21,31/03/2025,10
United Services Recreation Club 3,v,Banbil,United Services Recreation Club,19:00,,21,31/03/2025,10
RELAY 1,v,[BYE],,,,21,31/03/2025,10
i-Mask Advance Squash Club 4,v,Invader Squash,Cornwall Street Squash Centre,19:00,,1,08/10/2024,11
Kinetic 3,v,Global Squash 2,HK Squash Centre,19:00,,1,08/10/2024,11
The Squash Club 3,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,,1,08/10/2024,11
Star River 1,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,1,08/10/2024,11
Tuen Mun Squash Club,v,BOSS,Cornwall Street Squash Centre,19:00,,1,08/10/2024,11
7NT,v,[BYE],,,,1,08/10/2024,11
Tuen Mun Squash Club,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,2,15/10/2024,11
Sha Tin 5,v,Star River 1,Cornwall Street Squash Centre,19:00,,2,15/10/2024,11
Global Squash 2,v,The Squash Club 3,Harbour Road Sports Centre,19:00,,2,15/10/2024,11
Invader Squash,v,Kinetic 3,HK Squash Centre,19:00,,2,15/10/2024,11
7NT,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,,2,15/10/2024,11
BOSS,v,[BYE],,,,2,15/10/2024,11
Kinetic 3,v,7NT,HK Squash Centre,19:00,,3,22/10/2024,11
The Squash Club 3,v,Invader Squash,Cornwall Street Squash Centre,19:00,,3,22/10/2024,11
Star River 1,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,3,22/10/2024,11
Tuen Mun Squash Club,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,,3,22/10/2024,11
BOSS,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,3,22/10/2024,11
i-Mask Advance Squash Club 4,v,[BYE],,,,3,22/10/2024,11
Sha Tin 5,v,BOSS,Cornwall Street Squash Centre,19:00,,4,29/10/2024,11
Global Squash 2,v,Tuen Mun Squash Club,Harbour Road Sports Centre,19:00,,4,29/10/2024,11
Invader Squash,v,Star River 1,HK Squash Centre,19:00,,4,29/10/2024,11
7NT,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,,4,29/10/2024,11
i-Mask Advance Squash Club 4,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,4,29/10/2024,11
Hong Kong Cricket Club 7,v,[BYE],,,,4,29/10/2024,11
The Squash Club 3,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,,5,05/11/2024,11
Star River 1,v,7NT,Cornwall Street Squash Centre,19:00,,5,05/11/2024,11
Tuen Mun Squash Club,v,Invader Squash,Cornwall Street Squash Centre,19:00,,5,05/11/2024,11
BOSS,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,5,05/11/2024,11
Hong Kong Cricket Club 7,v,Sha Tin 5,Hong Kong Cricket Club,19:00,,5,05/11/2024,11
Kinetic 3,v,[BYE],,,,5,05/11/2024,11
Global Squash 2,v,Hong Kong Cricket Club 7,Harbour Road Sports Centre,19:00,,6,12/11/2024,11
Invader Squash,v,BOSS,HK Squash Centre,19:00,,6,12/11/2024,11
7NT,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,,6,12/11/2024,11
i-Mask Advance Squash Club 4,v,Star River 1,Cornwall Street Squash Centre,19:00,,6,12/11/2024,11
Kinetic 3,v,The Squash Club 3,HK Squash Centre,19:00,,6,12/11/2024,11
Sha Tin 5,v,[BYE],,,,6,12/11/2024,11
Star River 1,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,7,19/11/2024,11
Tuen Mun Squash Club,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,,7,19/11/2024,11
BOSS,v,7NT,Cornwall Street Squash Centre,19:00,,7,19/11/2024,11
Hong Kong Cricket Club 7,v,Invader Squash,Hong Kong Cricket Club,19:00,,7,19/11/2024,11
Sha Tin 5,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,7,19/11/2024,11
The Squash Club 3,v,[BYE],,,,7,19/11/2024,11
Invader Squash,v,Sha Tin 5,Harbour Road Sports Centre,19:00,,8,26/11/2024,11
Hong Kong Cricket Club 7,v,7NT,Hong Kong Cricket Club,19:00,,8,26/11/2024,11
i-Mask Advance Squash Club 4,v,BOSS,Cornwall Street Squash Centre,19:00,,8,26/11/2024,11
Kinetic 3,v,Tuen Mun Squash Club,HK Squash Centre,19:00,,8,26/11/2024,11
The Squash Club 3,v,Star River 1,Cornwall Street Squash Centre,19:00,,8,26/11/2024,11
Global Squash 2,v,[BYE],,,,8,26/11/2024,11
Tuen Mun Squash Club,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,,9,10/12/2024,11
BOSS,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,9,10/12/2024,11
Hong Kong Cricket Club 7,v,i-Mask Advance Squash Club 4,Hong Kong Cricket Club,19:00,,9,10/12/2024,11
Sha Tin 5,v,7NT,Cornwall Street Squash Centre,19:00,,9,10/12/2024,11
Global Squash 2,v,Invader Squash,Harbour Road Sports Centre,19:00,,9,10/12/2024,11
Star River 1,v,[BYE],,,,9,10/12/2024,11
7NT,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,10,17/12/2024,11
i-Mask Advance Squash Club 4,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,,10,17/12/2024,11
Kinetic 3,v,Hong Kong Cricket Club 7,HK Squash Centre,19:00,,10,17/12/2024,11
The Squash Club 3,v,BOSS,Cornwall Street Squash Centre,19:00,,10,17/12/2024,11
Star River 1,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,,10,17/12/2024,11
Invader Squash,v,[BYE],,,,10,17/12/2024,11
BOSS,v,Star River 1,Cornwall Street Squash Centre,19:00,,11,07/01/2025,11
Hong Kong Cricket Club 7,v,The Squash Club 3,Hong Kong Cricket Club,19:00,,11,07/01/2025,11
Sha Tin 5,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,11,07/01/2025,11
Global Squash 2,v,i-Mask Advance Squash Club 4,Harbour Road Sports Centre,19:00,,11,07/01/2025,11
Invader Squash,v,7NT,HK Squash Centre,19:00,,11,07/01/2025,11
Tuen Mun Squash Club,v,[BYE],,,,11,07/01/2025,11
Invader Squash,v,i-Mask Advance Squash Club 4,Harbour Road Sports Centre,19:00,,12,14/01/2025,11
Global Squash 2,v,Kinetic 3,HK Squash Centre,19:00,,12,14/01/2025,11
Sha Tin 5,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,,12,14/01/2025,11
Hong Kong Cricket Club 7,v,Star River 1,Hong Kong Cricket Club,19:00,,12,14/01/2025,11
BOSS,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,,12,14/01/2025,11
7NT,v,[BYE],,,,12,14/01/2025,11
Hong Kong Cricket Club 7,v,Tuen Mun Squash Club,Hong Kong Cricket Club,19:00,,13,21/01/2025,11
Star River 1,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,,13,21/01/2025,11
The Squash Club 3,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,13,21/01/2025,11
Kinetic 3,v,Invader Squash,HK Squash Centre,19:00,,13,21/01/2025,11
i-Mask Advance Squash Club 4,v,7NT,Cornwall Street Squash Centre,19:00,,13,21/01/2025,11
BOSS,v,[BYE],,,,13,21/01/2025,11
7NT,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,14,11/02/2025,11
Invader Squash,v,The Squash Club 3,Harbour Road Sports Centre,19:00,,14,11/02/2025,11
Global Squash 2,v,Star River 1,Cornwall Street Squash Centre,19:00,,14,11/02/2025,11
Sha Tin 5,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,,14,11/02/2025,11
Hong Kong Cricket Club 7,v,BOSS,Hong Kong Cricket Club,19:00,,14,11/02/2025,11
i-Mask Advance Squash Club 4,v,[BYE],,,,14,11/02/2025,11
BOSS,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,,15,18/02/2025,11
Tuen Mun Squash Club,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,15,18/02/2025,11
Star River 1,v,Invader Squash,Cornwall Street Squash Centre,19:00,,15,18/02/2025,11
The Squash Club 3,v,7NT,Cornwall Street Squash Centre,19:00,,15,18/02/2025,11
Kinetic 3,v,i-Mask Advance Squash Club 4,HK Squash Centre,19:00,,15,18/02/2025,11
Hong Kong Cricket Club 7,v,[BYE],,,,15,18/02/2025,11
i-Mask Advance Squash Club 4,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,,16,25/02/2025,11
7NT,v,Star River 1,Cornwall Street Squash Centre,19:00,,16,25/02/2025,11
Invader Squash,v,Tuen Mun Squash Club,Harbour Road Sports Centre,19:00,,16,25/02/2025,11
Global Squash 2,v,BOSS,HK Squash Centre,19:00,,16,25/02/2025,11
Sha Tin 5,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,16,25/02/2025,11
Kinetic 3,v,[BYE],,,,16,25/02/2025,11
Hong Kong Cricket Club 7,v,Global Squash 2,Hong Kong Cricket Club,19:00,,17,04/03/2025,11
BOSS,v,Invader Squash,Cornwall Street Squash Centre,19:00,,17,04/03/2025,11
Tuen Mun Squash Club,v,7NT,Cornwall Street Squash Centre,19:00,,17,04/03/2025,11
Star River 1,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,,17,04/03/2025,11
The Squash Club 3,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,17,04/03/2025,11
Sha Tin 5,v,[BYE],,,,17,04/03/2025,11
Kinetic 3,v,Star River 1,HK Squash Centre,19:00,,18,11/03/2025,11
i-Mask Advance Squash Club 4,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,,18,11/03/2025,11
7NT,v,BOSS,Cornwall Street Squash Centre,19:00,,18,11/03/2025,11
Invader Squash,v,Hong Kong Cricket Club 7,Harbour Road Sports Centre,19:00,,18,11/03/2025,11
Global Squash 2,v,Sha Tin 5,HK Squash Centre,19:00,,18,11/03/2025,11
The Squash Club 3,v,[BYE],,,,18,11/03/2025,11
Sha Tin 5,v,Invader Squash,Cornwall Street Squash Centre,19:00,,19,18/03/2025,11
7NT,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,19,18/03/2025,11
BOSS,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,,19,18/03/2025,11
Tuen Mun Squash Club,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,19,18/03/2025,11
Star River 1,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,,19,18/03/2025,11
Global Squash 2,v,[BYE],,,,19,18/03/2025,11
The Squash Club 3,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,,20,25/03/2025,11
Kinetic 3,v,BOSS,HK Squash Centre,19:00,,20,25/03/2025,11
i-Mask Advance Squash Club 4,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,20,25/03/2025,11
7NT,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,,20,25/03/2025,11
Invader Squash,v,Global Squash 2,Harbour Road Sports Centre,19:00,,20,25/03/2025,11
Star River 1,v,[BYE],,,,20,25/03/2025,11
Global Squash 2,v,7NT,Harbour Road Sports Centre,19:00,,21,01/04/2025,11
Sha Tin 5,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,,21,01/04/2025,11
Hong Kong Cricket Club 7,v,Kinetic 3,Hong Kong Cricket Club,19:00,,21,01/04/2025,11
BOSS,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,,21,01/04/2025,11
Tuen Mun Squash Club,v,Star River 1,Cornwall Street Squash Centre,19:00,,21,01/04/2025,11
Invader Squash,v,[BYE],,,,21,01/04/2025,11
Star River 1,v,BOSS,Cornwall Street Squash Centre,19:00,,22,08/04/2025,11
The Squash Club 3,v,Hong Kong Cricket Club 7,Cornwall Street Squash Centre,19:00,,22,08/04/2025,11
Kinetic 3,v,Sha Tin 5,HK Squash Centre,19:00,,22,08/04/2025,11
i-Mask Advance Squash Club 4,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,22,08/04/2025,11
7NT,v,Invader Squash,Cornwall Street Squash Centre,19:00,,22,08/04/2025,11
Tuen Mun Squash Club,v,[BYE],,,,22,08/04/2025,11
ZOMA,v,South China Athletic Association,Cornwall Street Squash Centre,19:00,,1,02/10/2024,12
Latecomers,v,Alpha CUHK,HK Squash Centre,19:00,,1,02/10/2024,12
Winter Warriors,v,Star River 2,HK Squash Centre,19:00,,1,02/10/2024,12
Sea Bear,v,North District Sports Association 1,Cornwall Street Squash Centre,19:00,,1,02/10/2024,12
Hong Kong Racketlon Assoication 2,v,CSD Squash Team,HK Squash Centre,19:00,,1,02/10/2024,12
Hong Kong Football Club 12A,v,Hong Kong Football Club 12B,Hong Kong Football Club,19:00,,1,02/10/2024,12
South China Athletic Association,v,CSD Squash Team,HK Squash Centre,19:00,,2,09/10/2024,12
North District Sports Association 1,v,Hong Kong Racketlon Assoication 2,Cornwall Street Squash Centre,19:00,,2,09/10/2024,12
Star River 2,v,Sea Bear,Cornwall Street Squash Centre,19:00,,2,09/10/2024,12
Winter Warriors,v,Hong Kong Football Club 12B,HK Squash Centre,19:00,,2,09/10/2024,12
Alpha CUHK,v,Hong Kong Football Club 12A,Cornwall Street Squash Centre,19:00,,2,09/10/2024,12
Latecomers,v,ZOMA,HK Squash Centre,19:00,,2,09/10/2024,12
Latecomers,v,South China Athletic Association,HK Squash Centre,19:00,,3,16/10/2024,12
Hong Kong Football Club 12A,v,ZOMA,Hong Kong Football Club,19:00,,3,16/10/2024,12
Winter Warriors,v,Alpha CUHK,HK Squash Centre,19:00,,3,16/10/2024,12
Sea Bear,v,Hong Kong Football Club 12B,Cornwall Street Squash Centre,19:00,,3,16/10/2024,12
Hong Kong Racketlon Assoication 2,v,Star River 2,HK Squash Centre,19:00,,3,16/10/2024,12
CSD Squash Team,v,North District Sports Association 1,HK Squash Centre,19:00,,3,16/10/2024,12
South China Athletic Association,v,North District Sports Association 1,HK Squash Centre,19:00,,4,23/10/2024,12
Star River 2,v,CSD Squash Team,Cornwall Street Squash Centre,19:00,,4,23/10/2024,12
Hong Kong Racketlon Assoication 2,v,Hong Kong Football Club 12B,HK Squash Centre,19:00,,4,23/10/2024,12
Alpha CUHK,v,Sea Bear,Cornwall Street Squash Centre,19:00,,4,23/10/2024,12
Winter Warriors,v,ZOMA,HK Squash Centre,19:00,,4,23/10/2024,12
Hong Kong Football Club 12A,v,Latecomers,Hong Kong Football Club,19:00,,4,23/10/2024,12
Hong Kong Football Club 12A,v,South China Athletic Association,Hong Kong Football Club,19:00,,5,30/10/2024,12
Winter Warriors,v,Latecomers,HK Squash Centre,19:00,,5,30/10/2024,12
Sea Bear,v,ZOMA,Cornwall Street Squash Centre,19:00,,5,30/10/2024,12
Hong Kong Racketlon Assoication 2,v,Alpha CUHK,HK Squash Centre,19:00,,5,30/10/2024,12
CSD Squash Team,v,Hong Kong Football Club 12B,HK Squash Centre,19:00,,5,30/10/2024,12
North District Sports Association 1,v,Star River 2,Cornwall Street Squash Centre,19:00,,5,30/10/2024,12
South China Athletic Association,v,Star River 2,HK Squash Centre,19:00,,6,06/11/2024,12
Hong Kong Football Club 12B,v,North District Sports Association 1,Hong Kong Football Club,19:00,,6,06/11/2024,12
Alpha CUHK,v,CSD Squash Team,Cornwall Street Squash Centre,19:00,,6,06/11/2024,12
ZOMA,v,Hong Kong Racketlon Assoication 2,Cornwall Street Squash Centre,19:00,,6,06/11/2024,12
Latecomers,v,Sea Bear,HK Squash Centre,19:00,,6,06/11/2024,12
Winter Warriors,v,Hong Kong Football Club 12A,HK Squash Centre,19:00,,6,06/11/2024,12
Winter Warriors,v,South China Athletic Association,HK Squash Centre,19:00,,7,13/11/2024,12
Hong Kong Football Club 12A,v,Sea Bear,Hong Kong Football Club,19:00,,7,13/11/2024,12
Hong Kong Racketlon Assoication 2,v,Latecomers,HK Squash Centre,19:00,,7,13/11/2024,12
CSD Squash Team,v,ZOMA,HK Squash Centre,19:00,,7,13/11/2024,12
North District Sports Association 1,v,Alpha CUHK,Cornwall Street Squash Centre,19:00,,7,13/11/2024,12
Hong Kong Football Club 12B,v,Star River 2,Hong Kong Football Club,19:00,,7,13/11/2024,12
South China Athletic Association,v,Hong Kong Football Club 12B,HK Squash Centre,19:00,,8,20/11/2024,12
Alpha CUHK,v,Star River 2,Cornwall Street Squash Centre,19:00,,8,20/11/2024,12
ZOMA,v,North District Sports Association 1,Cornwall Street Squash Centre,19:00,,8,20/11/2024,12
Latecomers,v,CSD Squash Team,HK Squash Centre,19:00,,8,20/11/2024,12
Hong Kong Football Club 12A,v,Hong Kong Racketlon Assoication 2,Hong Kong Football Club,19:00,,8,20/11/2024,12
Winter Warriors,v,Sea Bear,HK Squash Centre,19:00,,8,20/11/2024,12
Sea Bear,v,South China Athletic Association,Cornwall Street Squash Centre,19:00,,9,27/11/2024,12
Hong Kong Racketlon Assoication 2,v,Winter Warriors,HK Squash Centre,19:00,,9,27/11/2024,12
Hong Kong Football Club 12A,v,CSD Squash Team,Hong Kong Football Club,19:00,,9,27/11/2024,12
North District Sports Association 1,v,Latecomers,Cornwall Street Squash Centre,19:00,,9,27/11/2024,12
Star River 2,v,ZOMA,Kwun Chung Sports Centre,19:00,,9,27/11/2024,12
Hong Kong Football Club 12B,v,Alpha CUHK,Hong Kong Football Club,19:00,,9,27/11/2024,12
South China Athletic Association,v,Alpha CUHK,HK Squash Centre,19:00,,10,11/12/2024,12
ZOMA,v,Hong Kong Football Club 12B,Cornwall Street Squash Centre,19:00,,10,11/12/2024,12
Latecomers,v,Star River 2,HK Squash Centre,19:00,,10,11/12/2024,12
North District Sports Association 1,v,Hong Kong Football Club 12A,Pei Ho Street Sports Centre,19:00,,10,11/12/2024,12
Winter Warriors,v,CSD Squash Team,HK Squash Centre,19:00,,10,11/12/2024,12
Sea Bear,v,Hong Kong Racketlon Assoication 2,Cornwall Street Squash Centre,19:00,,10,11/12/2024,12
Hong Kong Racketlon Assoication 2,v,South China Athletic Association,HK Squash Centre,19:00,,11,18/12/2024,12
CSD Squash Team,v,Sea Bear,HK Squash Centre,19:00,,11,18/12/2024,12
North District Sports Association 1,v,Winter Warriors,Cornwall Street Squash Centre,19:00,,11,18/12/2024,12
Star River 2,v,Hong Kong Football Club 12A,Kwun Chung Sports Centre,19:00,,11,18/12/2024,12
Latecomers,v,Hong Kong Football Club 12B,HK Squash Centre,19:00,,11,18/12/2024,12
Alpha CUHK,v,ZOMA,Cornwall Street Squash Centre,19:00,,11,18/12/2024,12
South China Athletic Association,v,ZOMA,HK Squash Centre,19:00,,12,08/01/2025,12
Alpha CUHK,v,Latecomers,Cornwall Street Squash Centre,19:00,,12,08/01/2025,12
Star River 2,v,Winter Warriors,Cornwall Street Squash Centre,19:00,,12,08/01/2025,12
North District Sports Association 1,v,Sea Bear,Cornwall Street Squash Centre,19:00,,12,08/01/2025,12
CSD Squash Team,v,Hong Kong Racketlon Assoication 2,HK Squash Centre,19:00,,12,08/01/2025,12
Hong Kong Football Club 12B,v,Hong Kong Football Club 12A,Hong Kong Football Club,19:00,,12,08/01/2025,12
CSD Squash Team,v,South China Athletic Association,HK Squash Centre,19:00,,13,15/01/2025,12
Hong Kong Racketlon Assoication 2,v,North District Sports Association 1,HK Squash Centre,19:00,,13,15/01/2025,12
Sea Bear,v,Star River 2,Cornwall Street Squash Centre,19:00,,13,15/01/2025,12
Hong Kong Football Club 12B,v,Winter Warriors,Hong Kong Football Club,19:00,,13,15/01/2025,12
Hong Kong Football Club 12A,v,Alpha CUHK,Hong Kong Football Club,19:00,,13,15/01/2025,12
ZOMA,v,Latecomers,Cornwall Street Squash Centre,19:00,,13,15/01/2025,12
South China Athletic Association,v,Latecomers,HK Squash Centre,19:00,,14,22/01/2025,12
ZOMA,v,Hong Kong Football Club 12A,Cornwall Street Squash Centre,19:00,,14,22/01/2025,12
Alpha CUHK,v,Winter Warriors,Cornwall Street Squash Centre,19:00,,14,22/01/2025,12
Hong Kong Football Club 12B,v,Sea Bear,Hong Kong Football Club,19:00,,14,22/01/2025,12
